"Designator";"Comment";"Footprint";"Center-X(mm)";"Center-Y(mm)";"Rotation";"Layer"
"D5_5";"1N4148";"SMD_Diode_SOD-123";"73.4960";"-20.4760";"180";"BottomLayer"
"D5_6";"1N4148";"SMD_Diode_SOD-123";"73.5000";"-35.2210";"180";"BottomLayer"
"D6_1";"1N4148";"SMD_Diode_SOD-123";"88.7530";"39.4575";"0";"BottomLayer"
"D6_2";"1N4148";"SMD_Diode_SOD-123";"88.7500";"24.7125";"0";"BottomLayer"
"D6_3";"1N4148";"SMD_Diode_SOD-123";"88.7460";"9.9825";"0";"BottomLayer"
"D6_4";"1N4148";"SMD_Diode_SOD-123";"88.7500";"-4.7875";"0";"BottomLayer"
"D6_5";"1N4148";"SMD_Diode_SOD-123";"88.7460";"-19.5425";"0";"BottomLayer"
"D6_6";"1N4148";"SMD_Diode_SOD-123";"88.7500";"-34.2875";"0";"BottomLayer"
"D7_1";"1N4148";"SMD_Diode_SOD-123";"88.7530";"41.6575";"0";"BottomLayer"
"D7_2";"1N4148";"SMD_Diode_SOD-123";"88.7500";"26.9125";"0";"BottomLayer"
"D7_3";"1N4148";"SMD_Diode_SOD-123";"88.7460";"12.1825";"0";"BottomLayer"
"D7_4";"1N4148";"SMD_Diode_SOD-123";"88.7500";"-2.5875";"0";"BottomLayer"
"D7_5";"1N4148";"SMD_Diode_SOD-123";"88.7460";"-17.3425";"0";"BottomLayer"
"D7_6";"1N4148";"SMD_Diode_SOD-123";"88.7500";"-32.0875";"0";"BottomLayer"
"K1_1";"2N7002DW-7-F";"SMD_IC_SOT-363_(SC-70-6)";"93.0030";"33.1830";"270";"BottomLayer"
"K1_2";"2N7002DW-7-F";"SMD_IC_SOT-363_(SC-70-6)";"93.0000";"18.4380";"270";"BottomLayer"
"K1_3";"2N7002DW-7-F";"SMD_IC_SOT-363_(SC-70-6)";"92.9960";"3.7080";"270";"BottomLayer"
"K1_4";"2N7002DW-7-F";"SMD_IC_SOT-363_(SC-70-6)";"93.0000";"-11.0620";"270";"BottomLayer"
"K1_5";"2N7002DW-7-F";"SMD_IC_SOT-363_(SC-70-6)";"92.9960";"-25.8170";"270";"BottomLayer"
"K1_6";"2N7002DW-7-F";"SMD_IC_SOT-363_(SC-70-6)";"93.0000";"-40.5620";"270";"BottomLayer"
"K2_1";"2N7002DW-7-F";"SMD_IC_SOT-363_(SC-70-6)";"93.0030";"40.5570";"270";"BottomLayer"
"K2_2";"2N7002DW-7-F";"SMD_IC_SOT-363_(SC-70-6)";"93.0000";"25.8120";"270";"BottomLayer"
"K2_3";"2N7002DW-7-F";"SMD_IC_SOT-363_(SC-70-6)";"92.9960";"11.0820";"270";"BottomLayer"
"K2_4";"2N7002DW-7-F";"SMD_IC_SOT-363_(SC-70-6)";"93.0000";"-3.6880";"270";"BottomLayer"
"K2_5";"2N7002DW-7-F";"SMD_IC_SOT-363_(SC-70-6)";"92.9960";"-18.4430";"270";"BottomLayer"
"K2_6";"2N7002DW-7-F";"SMD_IC_SOT-363_(SC-70-6)";"93.0000";"-33.1880";"270";"BottomLayer"
